order name         price   quantity
30  Onion           1600    380
31  Garlic          3000    200
32  Ginger          3500    180
33  Lettuce         2500    160
34  Cabbage         2800    150
35  Broccoli        4000    120
36  Cauliflower     4200    100
37  Spinach         2600    190
38  Celery          3000    140
39  Corn            2300    160
40  Pumpkin         5500    70
44  Eggplant         3500    130
45  Zucchini        3700    125
46  Cantaloupe      6000    60
47  Raspberry       9500    40
48  Blackberry      9700    38
49  Avocado         12000   45
50  Starfruit       7000    55
